arquivo,classificacao
sql_0001.sql,Advanced
sql_0002.sql,Advanced
sql_0003.sql,Expert
sql_0004.sql,Basic
sql_0005.sql,Advanced
sql_0006.sql,Advanced
sql_0007.sql,Expert
sql_0008.sql,Advanced
sql_0009.sql,Advanced
sql_0010.sql,Expert
sql_0011.sql,Basic
sql_0012.sql,Advanced
sql_0013.sql,Advanced
sql_0014.sql,Advanced
sql_0015.sql,Advanced
sql_0016.sql,Expert
sql_0017.sql,Expert
sql_0018.sql,Advanced
sql_0019.sql,Expert
sql_0020.sql,Advanced
sql_0021.sql,Expert
sql_0022.sql,Advanced
sql_0023.sql,Advanced
sql_0024.sql,Advanced
sql_0025.sql,Expert
sql_0026.sql,Expert
sql_0027.sql,Expert
sql_0028.sql,Expert
sql_0029.sql,Advanced
sql_0030.sql,Advanced
sql_0031.sql,Advanced
sql_0032.sql,Expert
sql_0033.sql,Expert
sql_0034.sql,Advanced
sql_0035.sql,Advanced
sql_0036.sql,Expert
sql_0037.sql,Advanced
sql_0038.sql,Advanced
sql_0039.sql,Expert
sql_0040.sql,Advanced
sql_0041.sql,Advanced
sql_0042.sql,Expert
sql_0043.sql,Advanced
sql_0044.sql,Advanced
sql_0045.sql,Expert
sql_0046.sql,Advanced
sql_0047.sql,Advanced
sql_0048.sql,Expert
sql_0049.sql,Advanced
sql_0050.sql,Ultra
sql_0051.sql,Advanced
sql_0052.sql,Advanced
sql_0053.sql,Advanced
sql_0054.sql,Expert
sql_0055.sql,Advanced
sql_0056.sql,Advanced
sql_0057.sql,Expert
sql_0058.sql,Expert
sql_0059.sql,Advanced
sql_0060.sql,Expert
sql_0061.sql,Expert
sql_0062.sql,Advanced
sql_0063.sql,Advanced
sql_0064.sql,Advanced
sql_0065.sql,Advanced
sql_0066.sql,Advanced
sql_0067.sql,Advanced
sql_0068.sql,Advanced
sql_0069.sql,Advanced
sql_0070.sql,Advanced
sql_0071.sql,Advanced
sql_0072.sql,Expert
sql_0073.sql,Advanced
sql_0074.sql,Advanced
sql_0075.sql,Advanced
sql_0076.sql,Expert
sql_0077.sql,Advanced
sql_0078.sql,Advanced
sql_0079.sql,Advanced
sql_0080.sql,Expert
sql_0081.sql,Advanced
sql_0082.sql,Advanced
sql_0083.sql,Advanced
sql_0084.sql,Advanced
sql_0085.sql,Advanced
sql_0086.sql,Advanced
sql_0087.sql,Basic
sql_0088.sql,Expert
sql_0089.sql,Advanced
sql_0090.sql,Expert
sql_0091.sql,Advanced
sql_0092.sql,Advanced
sql_0093.sql,Advanced
sql_0094.sql,Expert
sql_0095.sql,Expert
sql_0096.sql,Advanced
sql_0097.sql,Expert
sql_0098.sql,Expert
sql_0099.sql,Advanced
sql_0100.sql,Advanced
sql_0101.sql,Advanced
sql_0102.sql,Advanced
sql_0103.sql,Expert
sql_0104.sql,Advanced
sql_0105.sql,Advanced
sql_0106.sql,Advanced
sql_0107.sql,Advanced
sql_0108.sql,Advanced
sql_0109.sql,Expert
sql_0110.sql,Advanced
sql_0111.sql,Advanced
sql_0112.sql,Basic
sql_0113.sql,Advanced
sql_0114.sql,Advanced
sql_0115.sql,Advanced
sql_0116.sql,Advanced
sql_0117.sql,Advanced
sql_0118.sql,Expert
sql_0119.sql,Advanced
sql_0120.sql,Expert
sql_0121.sql,Ultra
sql_0122.sql,Advanced
sql_0123.sql,Expert
sql_0124.sql,Advanced
sql_0125.sql,Expert
sql_0126.sql,Advanced
sql_0127.sql,Expert
sql_0128.sql,Expert
sql_0129.sql,Advanced
sql_0130.sql,Advanced
sql_0131.sql,Advanced
sql_0132.sql,Expert
sql_0133.sql,Advanced
sql_0134.sql,Advanced
sql_0135.sql,Expert
sql_0136.sql,Advanced
sql_0137.sql,Advanced
sql_0138.sql,Advanced
sql_0139.sql,Expert
sql_0140.sql,Advanced
sql_0141.sql,Advanced
sql_0142.sql,Advanced
sql_0143.sql,Expert
sql_0144.sql,Expert
sql_0145.sql,Advanced
sql_0146.sql,Advanced
sql_0147.sql,Advanced
sql_0148.sql,Advanced
sql_0149.sql,Advanced
sql_0150.sql,Advanced
sql_0151.sql,Expert
sql_0152.sql,Advanced
sql_0153.sql,Advanced
sql_0154.sql,Advanced
sql_0155.sql,Expert
sql_0156.sql,Expert
sql_0157.sql,Advanced
sql_0158.sql,Advanced
sql_0159.sql,Expert
sql_0160.sql,Advanced
sql_0161.sql,Advanced
sql_0162.sql,Advanced
sql_0163.sql,Expert
sql_0164.sql,Advanced
sql_0165.sql,Expert
sql_0166.sql,Expert
sql_0167.sql,Ultra
sql_0168.sql,Expert
sql_0169.sql,Ultra
sql_0170.sql,Advanced
sql_0171.sql,Ultra
sql_0172.sql,Expert
sql_0173.sql,Expert
sql_0174.sql,Advanced
sql_0175.sql,Expert
sql_0176.sql,Ultra
sql_0177.sql,Expert
sql_0178.sql,Expert
sql_0179.sql,Expert
sql_0180.sql,Expert
sql_0181.sql,Expert
sql_0182.sql,Ultra
sql_0183.sql,Expert
sql_0184.sql,Expert
sql_0185.sql,Expert
sql_0186.sql,Expert
sql_0187.sql,Advanced
sql_0188.sql,Advanced
sql_0189.sql,Expert
sql_0190.sql,Advanced
sql_0191.sql,Advanced
sql_0192.sql,Expert
sql_0193.sql,Expert
sql_0194.sql,Expert
sql_0195.sql,Expert
sql_0196.sql,Expert
sql_0197.sql,Expert
sql_0198.sql,Expert
sql_0199.sql,Ultra
sql_0200.sql,Ultra
sql_0201.sql,Expert
sql_0202.sql,Advanced
