arquivo,classificacao
sql_dev_0001.sql,Basic
sql_dev_0002.sql,Basic
sql_dev_0003.sql,Basic
sql_dev_0004.sql,Basic
sql_dev_0005.sql,Basic
sql_dev_0006.sql,Ultra
sql_dev_0007.sql,Expert
sql_dev_0008.sql,Ultra
sql_dev_0009.sql,Expert
sql_dev_0010.sql,Expert
sql_dev_0011.sql,Expert
sql_dev_0012.sql,Ultra
sql_dev_0013.sql,Expert
sql_dev_0014.sql,Ultra
sql_dev_0015.sql,Expert
sql_dev_0016.sql,Expert
sql_dev_0017.sql,Expert
sql_dev_0018.sql,Expert
sql_dev_0019.sql,Expert
sql_dev_0020.sql,Advanced
sql_dev_0021.sql,Advanced
sql_dev_0022.sql,Expert
sql_dev_0023.sql,Expert
sql_dev_0024.sql,Expert
sql_dev_0025.sql,Expert
sql_dev_0026.sql,Expert
sql_dev_0027.sql,Expert
sql_dev_0028.sql,Expert
sql_dev_0029.sql,Expert
sql_dev_0030.sql,Expert
sql_dev_0031.sql,Expert
sql_dev_0032.sql,Expert
sql_dev_0033.sql,Advanced
sql_dev_0034.sql,Advanced
sql_dev_0035.sql,Ultra
sql_dev_0036.sql,Ultra
sql_dev_0037.sql,Ultra
sql_dev_0038.sql,Ultra
sql_dev_0039.sql,Ultra
sql_dev_0040.sql,Ultra
sql_dev_0041.sql,Ultra
sql_dev_0042.sql,Ultra
sql_dev_0043.sql,Ultra
sql_dev_0044.sql,Ultra
sql_dev_0045.sql,Expert
sql_dev_0046.sql,Expert
sql_dev_0047.sql,Expert
sql_dev_0048.sql,Expert
sql_dev_0049.sql,Ultra
sql_dev_0050.sql,Ultra
sql_dev_0051.sql,Expert
sql_dev_0052.sql,Expert
sql_dev_0053.sql,Expert
sql_dev_0054.sql,Expert
sql_dev_0055.sql,Expert
sql_dev_0056.sql,Expert
sql_dev_0057.sql,Ultra
sql_dev_0058.sql,Ultra
sql_dev_0059.sql,Ultra
sql_dev_0060.sql,Expert
sql_dev_0061.sql,Expert
sql_dev_0062.sql,Ultra
sql_dev_0063.sql,Ultra
sql_dev_0064.sql,Expert
sql_dev_0065.sql,Ultra
sql_dev_0066.sql,Expert
sql_dev_0067.sql,Expert
sql_dev_0068.sql,Expert
sql_dev_0069.sql,Ultra
sql_dev_0070.sql,Ultra
sql_dev_0071.sql,Ultra
sql_dev_0072.sql,Ultra
sql_dev_0073.sql,Ultra
sql_dev_0074.sql,Ultra
sql_dev_0075.sql,Ultra
sql_dev_0076.sql,Ultra
sql_dev_0077.sql,Ultra
sql_dev_0078.sql,Ultra
sql_dev_0079.sql,Ultra
sql_dev_0080.sql,Ultra
sql_dev_0081.sql,Ultra
sql_dev_0082.sql,Ultra
sql_dev_0083.sql,Ultra
sql_dev_0084.sql,Expert
sql_dev_0085.sql,Expert
sql_dev_0086.sql,Expert
sql_dev_0087.sql,Ultra
sql_dev_0088.sql,Ultra
sql_dev_0089.sql,Ultra
sql_dev_0090.sql,Expert
sql_dev_0091.sql,Expert
sql_dev_0092.sql,Ultra
sql_dev_0093.sql,Ultra
sql_dev_0094.sql,Expert
sql_dev_0095.sql,Expert
sql_dev_0096.sql,Expert
sql_dev_0097.sql,Expert
sql_dev_0098.sql,Expert
sql_dev_0099.sql,Expert
sql_dev_0100.sql,Expert
