arquivo,classificacao
bq001.sql,Ultra
bq002.sql,Ultra
bq003.sql,Ultra
bq004.sql,Ultra
bq006.sql,Ultra
bq008.sql,Ultra
bq009.sql,Ultra
bq010.sql,Ultra
bq011.sql,Expert
bq018.sql,Ultra
bq021.sql,Ultra
bq022.sql,Ultra
bq025.sql,Ultra
bq031.sql,Ultra
bq032.sql,Ultra
bq034.sql,Advanced
bq035.sql,Expert
bq039.sql,Ultra
bq042.sql,Ultra
bq045.sql,Ultra
bq049.sql,Ultra
bq053.sql,Ultra
bq059.sql,Ultra
bq060.sql,Ultra
bq061.sql,Advanced
bq064.sql,Advanced
bq066.sql,Ultra
bq074.sql,Expert
bq076.sql,Ultra
bq077.sql,Ultra
bq078.sql,Advanced
bq081.sql,Ultra
bq085.sql,Ultra
bq086.sql,Ultra
bq087.sql,Expert
bq088.sql,Expert
bq089.sql,Ultra
bq090.sql,Expert
bq095.sql,Advanced
bq096.sql,Ultra
bq097.sql,Advanced
bq098.sql,Ultra
bq102.sql,Expert
bq103.sql,Ultra
bq105.sql,Ultra
bq109.sql,Ultra
bq110.sql,Advanced
bq112.sql,Ultra
bq113.sql,Ultra
bq114.sql,Ultra
bq115.sql,Ultra
bq119.sql,Ultra
bq120.sql,Advanced
bq123.sql,Ultra
bq124.sql,Ultra
bq126.sql,Advanced
bq130.sql,Ultra
bq143.sql,Ultra
bq144.sql,Advanced
bq151.sql,Expert
bq161.sql,Advanced
bq172.sql,Ultra
bq185.sql,Advanced
bq198.sql,Ultra
bq199.sql,Ultra
bq203.sql,Ultra
bq204.sql,Advanced
bq218.sql,Ultra
bq227.sql,Ultra
bq228.sql,Advanced
bq232.sql,Ultra
bq234.sql,Expert
bq235.sql,Ultra
bq268.sql,Ultra
bq269.sql,Ultra
bq270.sql,Ultra
bq275.sql,Ultra
bq279.sql,Ultra
bq280.sql,Ultra
bq281.sql,Ultra
bq282.sql,Ultra
bq284.sql,Ultra
bq285.sql,Ultra
bq286.sql,Ultra
bq290.sql,Ultra
bq300.sql,Ultra
bq301.sql,Ultra
bq302.sql,Ultra
bq303.sql,Ultra
bq304.sql,Ultra
bq308.sql,Ultra
bq309.sql,Ultra
bq310.sql,Ultra
bq327.sql,Expert
bq328.sql,Ultra
bq330.sql,Ultra
bq338.sql,Ultra
bq339.sql,Ultra
bq350.sql,Advanced
bq352.sql,Expert
bq354.sql,Ultra
bq355.sql,Expert
bq357.sql,Ultra
bq360.sql,Ultra
bq362.sql,Ultra
bq363.sql,Ultra
bq366.sql,Ultra
bq374.sql,Ultra
bq376.sql,Advanced
bq379.sql,Ultra
bq383.sql,Ultra
bq389.sql,Ultra
bq392.sql,Ultra
bq394.sql,Ultra
bq395.sql,Ultra
bq396.sql,Ultra
bq397.sql,Ultra
bq398.sql,Ultra
bq399.sql,Ultra
bq400.sql,Expert
bq402.sql,Expert
bq403.sql,Ultra
bq406.sql,Advanced
bq407.sql,Ultra
bq413.sql,Expert
bq414.sql,Advanced
bq419.sql,Advanced
bq424.sql,Advanced
bq425.sql,Advanced
bq428.sql,Ultra
bq430.sql,Ultra
bq442.sql,Ultra
bq452.sql,Ultra
bq453.sql,Advanced
ga001.sql,Ultra
ga002.sql,Ultra
ga003.sql,Advanced
ga004.sql,Ultra
ga008.sql,Ultra
ga010.sql,Ultra
ga012.sql,Ultra
ga017.sql,Ultra
ga018.sql,Ultra
ga019.sql,Ultra
ga020.sql,Ultra
ga021.sql,Ultra
ga022.sql,Expert
ga028.sql,Ultra
local003.sql,Ultra
local004.sql,Ultra
local008.sql,Advanced
local017.sql,Ultra
local019.sql,Ultra
local022.sql,Ultra
local023.sql,Ultra
local029.sql,Ultra
local038.sql,Ultra
local039.sql,Ultra
local058.sql,Ultra
local065.sql,Ultra
local066.sql,Ultra
local075.sql,Ultra
local078.sql,Ultra
local099.sql,Ultra
local131.sql,Ultra
local163.sql,Expert
local197.sql,Ultra
local199.sql,Ultra
local210.sql,Expert
local219.sql,Ultra
local301.sql,Ultra
local309.sql,Ultra
sf001.sql,Ultra
sf002.sql,Ultra
sf011.sql,Ultra
sf012.sql,Expert
sf014.sql,Ultra
sf018.sql,Ultra
sf040.sql,Advanced
sf044.sql,Ultra
sf_bq012.sql,Ultra
sf_bq017.sql,Ultra
sf_bq028.sql,Advanced
sf_bq033.sql,Ultra
